Column_Name,dtype,Description,Example
 mypyramid,integer,Heard of MyPyramid ,1
 foodpyramid,integer,Heard of the Food Pyramid or the Food Guide Pyramid ,1
 mypyramidsearch,integer,Looked up MyPyramid plan on internet ,0
 mypyramidfollow,integer,Tried to follow MyPyramid plan recommendations ,1
 fruitsveg,integer,"Think you eat right amount of fruits and vegetables now, or more needed? ",2
 nutritionfacts,integer,How often use Nutrition Facts panel? ,3
 nutritioneduc,integer,"In last 2 months, participated in a nutrition education event ",0
 nutritionsearch,integer,"In last 2 months, searched Internet for nutrition information ",0
 anyvegetarian,integer,Any household member is vegetarian ,0
 anylactoseintol,integer,Any household member is lactose intolerant ,1
 anyfoodallergy,integer,Any household member has any food allergies ,0
 allergywheat,integer,At least 1 person in residence has a wheat allergy ,0
 allergymilk,integer,At least 1 person in residence has a milk allergy ,0
 allergyegg,integer,At least 1 person in residence has an egg allergy ,0
 allergyfish,integer,At least 1 person in residence has a fish allergy ,0
 allergyshellfish,integer,At least 1 person in residence has a shellfish allergy ,0
 allergycorn,integer,At least 1 person in residence has a corn allergy ,0
 allergypeanut,integer,At least 1 person in residence has a peanut allergy ,0
 allergyothnut,integer,At least 1 person in residence has an allergy to other nuts ,0
 allergysoy,integer,At least 1 person in residence has a soy allergy,0
 allergyoth,integer,At least 1 person in residence has an other food allergy ,0
 anydieting,integer,Any household member is on any kind of food diet ,1
 anytobacco,integer,Any household member smokes or chews tobacco ,1
 anyillness,integer,Family member (in household or outside household) diagnosed with major illness/disability in last 3 months ,1
 fincondition,integer,Household's reported financial condition ,4
 billrevfreq,integer,How often household reviews bills for accuracy ,1
 billsontimefreq,integer,How often household pays bills on time ,4
 payaboveminfreq,integer,How often household pays more than ñminimum paymentî ,1
 billpayprob6mos,integer,"Household could not pay rent/mortgage, utility, or important medical bill within last 6 months ",1
 evicted6mos,integer,Household evicted for not paying rent or mortgage within last 6 months ,0
 utilnotpaid6mos,integer,Household could not pay full amount of utility bills within last 6 months ,1
 cashadv6mos,integer,Household used cash advance service on a credit card within last 6 months,1
 paydayloan6mos,integer,Household took out a payday-like loan within last 6 months ,1
 ndinnersouthh,integer,Average number of times household goes out for dinner during the week,1
 nmealshome,integer,"During past 7 days, number of times prepared food for dinner at home ",9
 nmealstogether,integer,"During past 7 days, number of times family ate dinner together, at home or away ",2
 expense_total,float,Total expense,1235.67
 altstoretype,integer,Alternative store's FoodAPS place type code ,121
 primstoretype,integer,Primary store's FoodAPS place type code,122
